entity_id,state,last_changed
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T09:37:32.729Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:38:31.787Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T09:39:49.436Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:41:45.841Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.088,2026-07-25T09:42:43.677Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T09:43:41.890Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T09:45:19.325Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T09:46:56.401Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:49:31.753Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T09:51:08.889Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T09:52:07.155Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.106,2026-07-25T09:53:05.063Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T09:54:23.122Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T09:55:03.871Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T09:56:21.938Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T09:57:20.195Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T10:00:14.972Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T10:02:50.423Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T10:05:45.194Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T10:07:02.915Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T10:08:20.626Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T10:14:29.726Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T10:19:21.100Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T10:24:12.498Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.102,2026-07-25T10:29:03.866Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.09,2026-07-25T10:31:58.704Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T10:36:50.017Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T10:38:27.127Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T10:42:20.245Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T10:42:58.756Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T10:43:18.196Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T10:44:36.296Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T10:46:13.462Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T10:47:11.405Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T10:57:14.306Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T10:58:51.488Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.098,2026-07-25T11:03:43.023Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T11:06:37.917Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.104,2026-07-25T11:07:16.427Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T11:08:53.999Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T11:11:10.014Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.1,2026-07-25T11:12:07.956Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.094,2026-07-25T11:12:46.827Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.096,2026-07-25T11:13:45.142Z
sensor.esp32_ot_mqtt_outdoor_voltage,4.092,2026-07-25T11:15:22.710Z
